LINK_ID,F_NODE,T_NODE,ROAD_NAME,TRAFFIC,LANES,MAX_SPD
1220110900,1220063900,1220060300,선릉로189길,0,1,30
1220111000,1220060300,1220063900,선릉로189길,0,1,30
1220109700,1220035000,1220035500,선릉로89길,0,1,60
1220110500,1220045700,1220046500,봉은사로113길,0,1,40
1220110300,1220044800,1220045700,봉은사로113길,0,2,40
1220110200,1220043700,1220044800,봉은사로114길,0,2,40
1220093001,1210049800,1210050300,잠원로,15,3,60
1220093102,1220051600,1210050300,압구정로,45,3,60
1220093002,1210050300,1220051400,압구정로,15,3,60
1220051901,1220064400,1220019600,삼성서울병원내부도로,0,1,30
1220051801,1220019600,1220064400,삼성서울병원내부도로,0,1,30
1220013306,1220064500,1220021800,광평로,50,1,60
1220087901,1220046500,1220045700,봉은사로113길,0,1,40
1220093500,1220002500,1220051600,압구정로,45,3,60
1220004802,1220056900,1220055300,영동대로,230,3,60
1220005300,1220056700,1220058100,영동대로,225,3,60
1220005200,1220058100,1220056900,영동대로,230,3,60
1220036902,1220059800,1220061500,언주로,404,3,60
1220036802,1220061600,1220059700,언주로,163,3,60
1220093400,1220051400,1220051900,압구정로,15,3,60
1220107800,1220062500,1220061000,논현로,117,2,60
1220007300,1210019000,1220003400,논현로,21,3,60
1220001502,1220001000,1220026300,영동대로,78,1,60
1220001603,1220026300,1220001000,영동대로,40,1,60
1220050800,1220020900,1220020000,밤고개로,106,3,60
1220050700,1220020000,1220020900,밤고개로,116,3,60
1220051200,1220020200,1220021600,광평로51길,0,1,60
1220051100,1220021600,1220020200,광평로51길,0,1,60
1220048500,1220018200,1220018300,밤고개로5길,0,1,30
1220048400,1220018300,1220018200,밤고개로5길,0,1,30
1220048600,1220018300,1220018500,밤고개로5길,0,1,30
1220048100,1220017800,1220018300,밤고개로5길,0,1,30
1220044600,1220014600,1220014800,자곡로,53,3,60
1220044700,1220014800,1220014600,자곡로,75,3,60
1220025701,1220032800,1220033300,도곡로,44,3,60
1220075200,1220038600,1220038900,영동대로86길,0,1,60
1220075300,1220038900,1220038600,영동대로86길,0,1,60
1220076400,1220038900,1220039600,영동대로86길,0,1,60
1220076500,1220039600,1220038900,영동대로86길,0,1,60
1220035104,1220055600,1220010000,압구정로,26,3,60
1220035004,1220010000,1220055600,압구정로,52,3,60
1220036002,1220057800,1220010000,압구정로,67,3,60
1220036101,1220010000,1220057800,압구정로,60,3,60
1220084300,1220044900,1220045500,강남대로146길,0,1,30
1220084400,1220045500,1220044900,강남대로146길,0,1,30
1220032202,1220047500,1220044200,논현로,85,3,60
1220032302,1220044200,1220047500,논현로,89,3,60
1220011403,1220021100,1220020500,언주로,180,3,60
1220016101,1220021100,1220022300,언주로,93,3,60
1220059800,1220030200,1220006900,개포로109길,0,1,30
1220059900,1220006900,1220030200,개포로109길,0,1,30
1220062000,1220030500,1220031200,선릉로69길,0,1,30
1220062100,1220031200,1220030500,선릉로69길,0,1,30
1220023203,1220031200,1220032100,선릉로,31,3,60
1220023103,1220032100,1220031200,선릉로,52,2,60
1220082800,1220044800,1220043700,봉은사로114길,13,2,40
1220085100,1220045700,1220044800,봉은사로113길,1,2,40
1220042300,1220013300,1220013900,언주로,28,2,60
1220042200,1220013900,1220013300,언주로,47,2,60
1220006901,1220013900,1220014300,언주로,14,2,60
1220006801,1220014300,1220013900,언주로,28,2,60
1220010202,1210024700,1210024100,남부순환로,25,2,60
1220010302,1210024100,1210024700,남부순환로,30,1,60
1220069400,1220035500,1220035000,선릉로89길,0,1,60
1220107900,1220061100,1220062500,논현로,133,2,60
1220064000,1220031900,1220032500,테헤란로26길,0,1,60
1220063900,1220032500,1220031900,테헤란로26길,0,1,60
1220017600,1220006600,1220023900,도곡로7길,11,2,40
1220017700,1220023900,1220006600,도곡로7길,13,2,40
1220046900,1210025100,1220017500,남부순환로363길,0,1,30
1220046800,1220017500,1210025100,남부순환로363길,0,1,30
1220007101,1210019000,1220014700,개포로,6,2,60
1220007001,1220014700,1210019000,개포로,9,2,60
1220006302,1220000100,1210016400,논현로,14,3,60
1220006200,1210016400,1220000100,논현로,26,3,60
1220006501,1210016400,1210017100,논현로,9,3,60
1220006401,1210017100,1210016400,논현로,19,3,60
1220042500,1220013200,1220014100,논현로16길,0,1,30
1220042400,1220014100,1220013200,논현로16길,0,1,30
1220043400,1210017100,1220014100,논현로16길,0,1,30
1220043500,1220014100,1210017100,논현로16길,0,1,30
1220044000,1220014100,1220014200,논현로16길,0,1,30
1220044100,1220014200,1220014100,논현로16길,0,1,30
1220041600,1210016400,1220013200,논현로10길,0,1,60
1220041700,1220013200,1210016400,논현로10길,0,1,60
1220007200,1220003400,1210019000,논현로,26,3,60
1220009200,1220004200,1220003800,남부순환로378길,5,1,30
1220009300,1220003800,1220004200,남부순환로378길,2,1,30
1220009801,1220016600,1220003800,양재천로,3,1,30
