지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y)
서울특별시 강남구 신사동 525-13 지상1층101102호 ,서울특별시 강남구 압구정로4길 13-13 (신사동지상1층101102호),르포트 13,201799.8716,446679.2061
서울특별시 강남구 삼성동 150-21번지 지상1층 ,서울특별시 강남구 삼성로104길 7 (삼성동지상1층),한탕,204811.7927,445410.9511
서울특별시 강남구 논현동 242-21 삼아프라자 ,서울특별시 강남구 선릉로129길 3-6 삼아프라자 1층 101호 (논현동),묵호일식,203552.5167,445969.4993
서울특별시 강남구 청담동 95-15번지 지상2층 ,서울특별시 강남구 압구정로72길 22 지상2층 (청담동),볼트스테이크하우스(Vault steak house),203905.7515,446976.7192
서울특별시 강남구 역삼동 817-21 지상1층 ,서울특별시 강남구 강남대로96길 17 (역삼동지상1층),용용선생 강남역점,202441.5187,444214.652
서울특별시 강남구 신사동 657-24번지 지상12층 ,서울특별시 강남구 선릉로157길 23-5 (신사동지상12층),마크레인커피,203276.395,447069.2
서울특별시 강남구 신사동 647-23 ,서울특별시 강남구 선릉로153길 34 지하1층 (신사동),부쉬윅,203168.8181,446952.8492
서울특별시 강남구 역삼동 808-5번지 ,서울특별시 강남구 강남대로 468 지하2층 (역삼동 외4필지),코다차야 강남점,202150.899,444665.5848
서울특별시 강남구 역삼동 722 경남아파트 ,서울특별시 강남구 언주로85길 13 상가동 지상1층 113호 (역삼동 경남아파트),부엉이제면소,203671.6457,444263.0752
서울특별시 강남구 신사동 652-5,서울특별시 강남구 도산대로49길 6-5 지상1층 (신사동),다이브에스프레소클럽,203260.0825,446801.9064
서울특별시 강남구 역삼동 747-10번지 ,서울특별시 강남구 논현로75길 13 (역삼동),닭갈비두목,203266.8108,443782.1934
서울특별시 강남구 신사동 514-9 ,서울특별시 강남구 도산대로11길 5 지상2층 202호 (신사동),일곱잔,201901.6144,446176.2064
서울특별시 강남구 신사동 636-14,서울특별시 강남구 언주로172길 12 지상1층 (신사동),코드로 파라다이스 압구정로데오 본점,202994.8831,447266.5723
서울특별시 강남구 논현동 242-14 GOOD ,서울특별시 강남구 선릉로127길 10 GOOD 지하1층 (논현동),지안정,203541.9893,445931.575
서울특별시 강남구 역삼동 818-1 ,서울특별시 강남구 강남대로96길 12 B동 1층 (역삼동),크래프트한스강남,202405.4773,444167.8972
서울특별시 강남구 삼성동 49-11 세창빌딩 ,서울특별시 강남구 봉은사로 467 세창빌딩 지상1층 (삼성동),앙마꼬치,204406.059,445593.1006
서울특별시 강남구 역삼동 825-24 ,서울특별시 강남구 강남대로84길 15 지하1층 B126호 (역삼동),박과장 떡볶이,202562.7319,443869.2751
서울특별시 강남구 신사동 663-2 ,서울특별시 강남구 압구정로50길 25 지상1층 (신사동),동굴,203285.4275,447152.4058
서울특별시 강남구 신사동 525-19 지상1층 ,서울특별시 강남구 논현로175길 101 (신사동지상1층),야키토리 요이사,201801.9219,446716.8617
서울특별시 강남구 신사동 654-14번지 지상1층 ,서울특별시 강남구 도산대로51길 18 (신사동지상1층),이자카야 인 뉴욕,203290.1948,446897.6263
서울특별시 강남구 논현동 63-6 ,서울특별시 강남구 언주로149길 5 지상2층 (논현동),켈리 더 쿡(Kelly the cook),202910.1756,446473.4935
서울특별시 강남구 역삼동 677-11번지 트리아관광호텔 ,서울특별시 강남구 테헤란로33길 16 트리아관광호텔 지상1층 (역삼동),트리아관광호텔,203414.8683,444515.5703
서울특별시 강남구 역삼동 817-34번지 지상3층 ,서울특별시 강남구 강남대로98길 14 (역삼동지상3층),가가린 철우 사주카페,202392.0046,444276.6357
서울특별시 강남구 신사동 653-10 주현빌딩 ,서울특별시 강남구 도산대로51길 13 주현빌딩 지하1층 (신사동),코르트 스튜디오(COURTE STUDIOS),203273.7578,446851.5978
서울특별시 강남구 삼성동 110-3번지 지상1층지하1층 ,서울특별시 강남구 봉은사로 641 (삼성동지상1층지하1층),백세주마을 삼성점,205716.3701,445912.2258
서울특별시 강남구 신사동 561-19 ,서울특별시 강남구 도산대로 153 지상19층 (신사동),텔러스 9.5,202159.7495,446291.2772
서울특별시 강남구 신사동 657-17 ,서울특별시 강남구 선릉로155길 26 지하1층 (신사동),거북썬블랙,203252.4898,447060.3607
서울특별시 강남구 대치동 901-25 유성빌딩 ,서울특별시 강남구 삼성로81길 39 유성빌딩 지하1층 102호 (대치동),와인투고(wine to go),204747.4016,444604.0508
서울특별시 강남구 신사동 658-1번지 ,서울특별시 강남구 압구정로50길 22 지상2층 (신사동),와인주막차차 압구정점,203260.7922,447182.514
서울특별시 강남구 논현동 202-9 ,서울특별시 강남구 봉은사로 123 1층 101호 (논현동),비크 이뮈르달,202334.8486,444827.0098
서울특별시 강남구 역삼동 810-2번지 지상1층 ,서울특별시 강남구 봉은사로2길 15 (역삼동지상1층),까사생갈비,202224.1964,444601.9146
서울특별시 강남구 일원동 663-4번지 지상1층 ,서울특별시 강남구 일원로3길 48 지상1층 (일원동),김준석꼬치,207346.0408,443344.6186
서울특별시 강남구 삼성동 123-3,서울특별시 강남구 삼성로107길 33 지상1층 (삼성동),지칸,204479.0416,445389.4013
서울특별시 강남구 신사동 589-18번지 C&J빌딩 ,서울특별시 강남구 논현로152길 37 C&J빌딩 지상3층 (신사동),페어링지(pairinG),202681.8822,446615.981
서울특별시 강남구 역삼동 719-24 역삼역센트럴푸르지오 ,서울특별시 강남구 언주로85길 32 역삼역센트럴푸르지오 지상1층 106호지하1층B126호 (역삼동),호샤퀴테리에,203519.2709,444294.8425
서울특별시 강남구 신사동 552-3번지 ,서울특별시 강남구 논현로161길 39 지하1층 101호 (신사동),하이볼가든(Highball Garden),202138.7223,446738.937
서울특별시 강남구 개포동 167-1번지 ,서울특별시 강남구 선릉로10길 4-4 층 지상102호 (개포동),영심이포차,205306.9287,442313.7181
서울특별시 강남구 신사동 657-23 지상2층,서울특별시 강남구 도산대로51길 39 (신사동지상2층),아이언펍(IRON PUB),203294.5817,447067.1791
서울특별시 강남구 신사동 518-14 ,서울특별시 강남구 도산대로11길 31-8 지하1층 (신사동),유희,201854.3412,446349.2579
서울특별시 강남구 신사동 623-2 지하1층 ,서울특별시 강남구 언주로 841 (신사동지하1층),라움(Raum),202838.0694,447036.1317
서울특별시 강남구 역삼동 818-5 혜진빌딩,서울특별시 강남구 강남대로96길 20 혜진빌딩 지상2층 (역삼동),강남비치 강남본점,202462.8108,444189.65
서울특별시 강남구 청담동 123-37 ,서울특별시 강남구 도산대로89길 17 지상1층 (청담동),잔비워,204426.078,447051.8124
서울특별시 강남구 신사동 657-40 ,서울특별시 강남구 선릉로157길 13-5 101호 (신사동),야키토리(Yakitori)파노,203346.4786,447047.3695
서울특별시 강남구 신사동 626-76번지 지상1층 ,서울특별시 강남구 언주로153길 16 (신사동지상1층),양철집,202748.6017,446720.2014
서울특별시 강남구 삼성동 112-1번지 ,서울특별시 강남구 봉은사로 404 1층 101호 (삼성동 씨티라이프61),난 플라워카페,203851.2701,445325.3776
서울특별시 강남구 역삼동 736-38,서울특별시 강남구 논현로87길 19 지하1층 (역삼동),인파밀리아 역삼점,203033.8335,444137.0764
서울특별시 강남구 신사동 516-16,서울특별시 강남구 강남대로154길 33 1층 (신사동),식물학,201845.6676,446238.4458
서울특별시 강남구 신사동 642-9번지 ,서울특별시 강남구 언주로170길 35 지상2층 201호 (신사동),예술가,203159.8802,447156.7927
서울특별시 강남구 논현동 202-20 ,서울특별시 강남구 봉은사로 117 1층 (논현동),노포식당 논현본점,202263.6603,444789.8696
서울특별시 강남구 삼성동 49-11 세창빌딩 ,서울특별시 강남구 봉은사로 467 세창빌딩 지상1층 (삼성동),앙마꼬치,204406.059,445593.1006
서울특별시 강남구 논현동 160-11 ,서울특별시 강남구 강남대로122길 31 지상2층 (논현동),헤비스모커,202183.148,445154.0181
