,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y)
288039,1,영업/정상,1,영업,서울특별시 강남구 청담동 3-17번지 지하2층 ,서울특별시 강남구 선릉로148길 33 (청담동지하2층),,2,I,2018.8.31 23:59,경양식,203666.9228,446744.6582
289682,1,영업/정상,1,영업,서울특별시 강남구 청담동 90-3번지 지하1층 ,서울특별시 강남구 도산대로61길 27 (청담동지하1층),6016,2,I,2018.8.31 23:59,경양식,203743.2057,447049.6231
288487,1,영업/정상,1,영업,서울특별시 강남구 역삼동 721-3번지 지하1층 ,서울특별시 강남구 테헤란로38길 27 (역삼동지하1층),6222,10,I,2018.8.31 23:59,한식,203712.4418,444284.7633
286058,1,영업/정상,1,영업,서울특별시 강남구 신사동 516-10번지 ,서울특별시 강남구 강남대로156길 40 (신사동),6035,25,I,2018.8.31 23:59,분식,201904.9095,446296.1644
285870,1,영업/정상,1,영업,서울특별시 강남구 역삼동 687-0 지하1층 ,서울특별시 강남구 언주로108길 8 (역삼동지하1층),6144,104,U,2022.3.23 2:40,경양식,203494.3374,445092.833
280468,1,영업/정상,1,영업,서울특별시 강남구 삼성동 10-3번지 ,서울특별시 강남구 학동로56길 37 지상1층 (삼성동),6092,170,U,2020.1.9 2:40,기타,203752.7807,445841.6029
478938,1,영업/정상,1,영업,서울특별시 강남구 논현동 240-7 계풍빌딩,서울특별시 강남구 학동로 332 계풍빌딩 지상1층 (논현동),6099,240,I,2021.12.3 22:09,기타,203395.8066,446013.2594
285625,1,영업/정상,1,영업,서울특별시 강남구 역삼동 705-14번지 1층 ,서울특별시 강남구 선릉로93길 11 1층 (역삼동),6150,705,I,2018.8.31 23:59,통닭(치킨),204125.8356,444770.0175
282137,1,영업/정상,1,영업,서울특별시 강남구 신사동 514-21 세현빌딩 ,서울특별시 강남구 강남대로152길 26 세현빌딩 지상2층 (신사동),6035,890,I,2021.7.21 0:22,기타,201837.0817,446148.3348
477145,1,영업/정상,1,영업,서울특별시 강남구 논현동 158 해림빌딩,서울특별시 강남구 학동로20길 55 해림빌딩 지상1층 103호 (논현동),6115,1998,U,2021.12.5 22:06,기타,202339.9461,445323.8655
282732,1,영업/정상,1,영업,서울특별시 강남구 삼성동 123-19 ,서울특별시 강남구 봉은사로68길 35 지하1층 (삼성동),6155,2001.2.3,I,2021.10.31 0:22,경양식,204491.004,445312.8317
470470,1,영업/정상,1,영업,서울특별시 강남구 역삼동 773-10,서울특별시 강남구 언주로69길 6 지상1층 (역삼동),6226,? 베이커리,I,2021.12.2 21:00,기타,203888.9493,443830.359
280483,1,영업/정상,1,영업,서울특별시 강남구 신사동 516-2번지 ,서울특별시 강남구 강남대로156길 28-2 지상1층 (신사동),6035,??안다오(Quan An Dao),I,2018.8.31 23:59,한식,201833.7639,446250.9501
288263,1,영업/정상,1,영업,서울특별시 강남구 삼성동 144-14 지상1층 ,서울특별시 강남구 삼성로 517 지상1층 108-1호 (삼성동 채널리저브),6158,?스커피(perks),U,2022.3.24 2:40,까페,204828.1804,445089.6729
19222,1,영업/정상,1,영업,서울특별시 강남구 신사동 507-3번지 ,서울특별시 강남구 강남대로162길 18 지상1층 (신사동),6027,?커피,U,2020.6.6 2:40,경양식,201703.2832,446411.4502
282157,1,영업/정상,1,영업,서울특별시 강남구 논현동 41-13 플립타워 ,서울특별시 강남구 학동로11길 20-7 플립타워 지하2층 (논현동),6045,?E?E,I,2021.7.22 0:22,경양식,202154.4634,445743.8164
281344,1,영업/정상,1,영업,서울특별시 강남구 신사동 637-11 ,서울특별시 강남구 압구정로42길 12 지하1층 (신사동),6017,(끌레오)CLO,I,2020.11.1 0:23,한식,203049.7504,447323.4526
284827,1,영업/정상,1,영업,서울특별시 강남구 도곡동 954-19번지 ,서울특별시 강남구 남부순환로355길 13 (도곡동),6267,(신)오양절면,I,2018.8.31 23:59,한식,203087.888,442628.7229
286980,1,영업/정상,1,영업,서울특별시 강남구 논현동 165 ,서울특별시 강남구 강남대로 502 2층 (논현동 에임하이타워),6119,(유)아웃백스테이크하우스코리아 강남점,U,2021.12.17 2:40,경양식,202024.6156,444994.6595
285251,1,영업/정상,1,영업,서울특별시 강남구 대치동 651-0 지하1층 ,서울특별시 강남구 남부순환로 2909 (대치동지하1층),6280,(유)아웃백스테이크하우스코리아 도곡점,U,2021.12.11 2:40,경양식,205004.7797,443335.5182
476043,1,영업/정상,1,영업,서울특별시 강남구 삼성동 159 컨벤션별관,서울특별시 강남구 테헤란로87길 58 컨벤션별관 지하2층 2A14호 (삼성동),6164,(유)아웃백스테이크하우스코리아 코엑스점,U,2021.12.5 23:09,경양식,205130.5917,445590.0968
19111,1,영업/정상,1,영업,서울특별시 강남구 역삼동 676 센터필드 ,서울특별시 강남구 테헤란로 231 센터필드 더?스앳센터필드 쇼핑몰동 지하2층 WB02호 (역삼동),6142,(유)한국집 센터필드 역삼점,I,2021.7.10 0:22,한식,203599.0628,444556.0623
281812,1,영업/정상,1,영업,서울특별시 강남구 청담동 9-12 ,서울특별시 강남구 학동로77길 50 지상1층 102호 (청담동),6067,(유노시엘) EUNOSIERE,I,2021.5.5 0:22,기타,204171.4246,446636.4335
284654,1,영업/정상,1,영업,서울특별시 강남구 역삼동 646-4번지 ,서울특별시 강남구 강남대로94길 86 지상2층 (역삼동),6132,(이층) 맥주창고,U,2018.12.9 2:40,경양식,202951.1319,444272.4912
290171,1,영업/정상,1,영업,서울특별시 강남구 도곡동 467-29번지 반트타워팰리스내지상1층 ,서울특별시 강남구 언주로30길 26 (도곡동반트타워팰리스내지상1층),6294,(주) 타워그안,I,2018.8.31 23:59,경양식,204602.5634,442794.5745
19112,1,영업/정상,1,영업,서울특별시 강남구 삼성동 89-7번지 지상1층 ,서울특별시 강남구 영동대로122길 15 (삼성동지상1층),6080,(주)?앤플렛뱅드따블,I,2018.8.31 23:59,경양식,205280.4556,446086.378
291410,1,영업/정상,1,영업,서울특별시 강남구 대치동 891-46번지 V&S ,서울특별시 강남구 삼성로85길 26 V&S 지상 1층 (대치동),6194,(주)가온에프앤비,U,2020.2.14 2:40,기타,204792.0497,444762.8269
280538,1,영업/정상,1,영업,서울특별시 강남구 논현동 202번지 ,서울특별시 강남구 봉은사로5길 6 지하1층 (논현동),6120,(주)감나무집,I,2018.8.31 23:59,한식,202266.6264,444821.7636
284180,1,영업/정상,1,영업,서울특별시 강남구 신사동 542-6번지 ,서울특별시 강남구 도산대로13길 26 지상2층 (신사동),6036,(주)감성아시아,I,2018.8.31 23:59,외국음식전문점(인도태국등),201987.7268,446380.1631
284218,1,영업/정상,1,영업,서울특별시 강남구 신사동 542-6번지 ,서울특별시 강남구 도산대로13길 26 3층 (신사동),6036,(주)감성타코 가로수길점,U,2019.6.13 2:40,경양식,201987.7268,446380.1631
